Model,Dataset,Timestamp,mean_fit_time,mean_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_test_score,mean_test_score
SVC RBF,1581,20240409_130347,2.699496936798096,0.2664488792419434,"{'feature_selection__percentile': 75, 'feature_selection__type': 'anova_f', 'scaler__type': 'robust', 'tokenization__type': 'TweetTokenizer', 'vectorization__max_df': 0.3, 'vectorization__max_features': 5000, 'vectorization__min_df': 2, 'vectorization__ngram_range': (1, 2), 'vectorization__type': 'tfidf'}",0.24620231800588793,0.2037232444895991,0.22385808893236991,0.19604163554581816,0.20386813157240938,0.018233004413772957,0.2147386837092169
SVC RBF,1581,20240409_130347,2.140120029449463,0.21828861236572267,"{'feature_selection__percentile': 75, 'feature_selection__type': 'anova_f', 'scaler__type': 'robust', 'tokenization__type': 'TweetTokenizer', 'vectorization__max_df': 0.3, 'vectorization__max_features': 5000, 'vectorization__min_df': 2, 'vectorization__ngram_range': (1, 2), 'vectorization__type': 'count'}",0.24014285383510875,0.18950442771024129,0.22114035553643246,0.21613428604234197,0.22734063322298617,0.016728776938167066,0.21885251126942212
SVC RBF,1581,20240409_130347,0.7702318668365479,0.06733140945434571,"{'feature_selection__percentile': 75, 'feature_selection__type': 'anova_f', 'scaler__type': 'robust', 'tokenization__type': 'TweetTokenizer', 'vectorization__max_df': 0.3, 'vectorization__max_features': 5000, 'vectorization__min_df': 2, 'vectorization__ngram_range': (1, 5), 'vectorization__type': 'tfidf'}",0.23582421034191836,0.1704090385510869,0.22580550840778038,0.2089082462253194,0.2070903377524303,0.022329513291200306,0.20960746825570706
SVC RBF,1581,20240409_130347,0.9102397441864014,0.10403127670288086,"{'feature_selection__percentile': 75, 'feature_selection__type': 'anova_f', 'scaler__type': 'robust', 'tokenization__type': 'TweetTokenizer', 'vectorization__max_df': 0.3, 'vectorization__max_features': 5000, 'vectorization__min_df': 2, 'vectorization__ngram_range': (1, 5), 'vectorization__type': 'count'}",0.2469782371711571,0.1600624596126845,0.21912936764016436,0.21515368870642376,0.20317218514807156,0.02832530296953066,0.2088991876557002
SVC RBF,1581,20240409_130347,0.6343335628509521,0.06381525993347167,"{'feature_selection__percentile': 75, 'feature_selection__type': 'anova_f', 'scaler__type': 'robust', 'tokenization__type': 'TweetTokenizer', 'vectorization__max_df': 0.3, 'vectorization__max_features': 5000, 'vectorization__min_df': 2, 'vectorization__ngram_range': (1, 7), 'vectorization__type': 'tfidf'}",0.23410216325276254,0.16566326860691874,0.22688835728992865,0.21765146030620028,0.21176734190734853,0.02402569335149097,0.21121451827263177
SVC RBF,1581,20240409_130347,0.6209263324737548,0.06691465377807618,"{'feature_selection__percentile': 75, 'feature_selection__type': 'anova_f', 'scaler__type': 'robust', 'tokenization__type': 'TweetTokenizer', 'vectorization__max_df': 0.3, 'vectorization__max_features': 5000, 'vectorization__min_df': 2, 'vectorization__ngram_range': (1, 7), 'vectorization__type': 'count'}",0.22837940495660952,0.17195339425188308,0.22759472876990722,0.20523469604180494,0.24286609380594343,0.024747988985376376,0.21520566356522966
SVC RBF,1581,20240409_130347,0.7839271545410156,0.08933057785034179,"{'feature_selection__percentile': 75, 'feature_selection__type': 'anova_f', 'scaler__type': 'robust', 'tokenization__type': 'TweetTokenizer', 'vectorization__max_df': 0.3, 'vectorization__max_features': 5000, 'vectorization__min_df': 10, 'vectorization__ngram_range': (1, 2), 'vectorization__type': 'tfidf'}",0.22057123535732198,0.1960747283813906,0.2138241460106055,0.20691981319175662,0.21226381044416404,0.008183846378439129,0.20993074667704775
SVC RBF,1581,20240409_130347,0.7761084079742432,0.07466425895690917,"{'feature_selection__percentile': 75, 'feature_selection__type': 'anova_f', 'scaler__type': 'robust', 'tokenization__type': 'TweetTokenizer', 'vectorization__max_df': 0.3, 'vectorization__max_features': 5000, 'vectorization__min_df': 10, 'vectorization__ngram_range': (1, 2), 'vectorization__type': 'count'}",0.22516450422404827,0.1812190221270193,0.20386327012178102,0.1880402933277137,0.18559171177114328,0.016121767920184386,0.19677576031434113
SVC RBF,1581,20240409_130347,0.6476432323455811,0.07094907760620117,"{'feature_selection__percentile': 75, 'feature_selection__type': 'anova_f', 'scaler__type': 'robust', 'tokenization__type': 'TweetTokenizer', 'vectorization__max_df': 0.3, 'vectorization__max_features': 5000, 'vectorization__min_df': 10, 'vectorization__ngram_range': (1, 5), 'vectorization__type': 'tfidf'}",0.23623322090782142,0.17652771467514766,0.21256134510901098,0.211588705171264,0.20023250330126394,0.019390751684979803,0.20742869783290158
SVC RBF,1581,20240409_130347,0.649260139465332,0.06699652671813965,"{'feature_selection__percentile': 75, 'feature_selection__type': 'anova_f', 'scaler__type': 'robust', 'tokenization__type': 'TweetTokenizer', 'vectorization__max_df': 0.3, 'vectorization__max_features': 5000, 'vectorization__min_df': 10, 'vectorization__ngram_range': (1, 5), 'vectorization__type': 'count'}",0.24787255698699312,0.17364930820813174,0.19985506817436755,0.22001038948503243,0.21985558569502744,0.02461984109100028,0.21224858170991046
