tweetid,sentiment
169760,2
35326,0
224985,1
476263,-1
872928,0
75639,0
211536,0
569434,1
315368,2
591733,1
91983,-1
67249,0
143459,2
663535,0
20476,0
815297,0
274098,1
30045,0
681487,0
708966,2
393689,0
186705,2
233977,2
525794,1
863649,-1
315964,1
588985,-1
669979,0
137059,2
556915,0
951973,1
72939,0
205796,0
478581,-1
453375,0
555551,1
219030,0
546209,2
416919,0
433824,1
621526,2
616108,0
70943,0
153248,0
854719,0
616444,1
118418,2
846132,-1
443106,0
758958,1
376412,2
667731,0
222107,1
349545,0
284026,0
564727,0
522979,0
460970,1
371750,0
251299,2
485211,0
502976,1
623282,0
217605,0
225330,0
58854,1
723671,0
366409,-1
704565,0
655925,0
717618,2
922449,2
729885,1
599133,2
89885,0
249039,0
440750,1
18663,0
314549,2
643414,-1
61835,2
659073,1
178597,1
152298,0
581943,0
781913,0
336886,0
624852,0
655116,0
5591,0
731620,0
872882,2
320393,0
353463,1
816508,2
636325,-1
53058,0
725589,0
693559,1
66255,0
218797,0
307092,0
188557,0
137392,-1
597086,2
96006,-1
330509,-1
78639,2
536231,1
304814,1
553696,1
455898,0
745466,2
846719,2
722710,1
989172,2
492079,1
315869,2
32675,0
959684,-1
641938,0
933443,0
458401,0
554994,0
461467,2
902353,1
178794,1
387356,0
380276,2
824355,0
685606,-1
85488,0
50608,0
447977,2
943930,2
183083,1
359626,0
810128,1
380913,0
516209,1
993538,0
594772,0
22428,2
991876,0
504172,0
283272,1
914599,-1
752129,2
701957,-1
858489,0
221704,2
409406,0
468372,0
818509,1
204729,1
394896,0
397593,0
465474,0
450344,2
502719,-1
816499,2
291002,1
301225,0
402773,0
81233,2
642569,1
900041,0
67900,-1
237131,0
311030,-1
975455,0
69232,2
156024,0
268543,0
586693,0
709157,1
582003,0
689136,0
953619,-1
971710,0
809619,-1
595597,0
274499,2
771063,2
597739,2
110053,0
723442,0
881554,0
704923,-1
822018,-1
505322,0
120776,0
404757,1
811053,0
317696,2
734766,0
841196,0
400682,0
649511,2
740566,0
798359,0
861578,2
5417,0
609894,-1
174874,2
227482,0
316886,2
112798,2
44507,0
444423,1
878768,1
951095,0
970445,0
208227,0
545402,0
498559,1
454769,0
490905,1
343981,1
891649,-1
794296,2
669149,2
104997,-1
54711,2
756770,-1
632633,2
882503,1
604089,0
37591,0
304290,0
167356,0
398680,1
268980,2
485450,0
246743,1
83632,0
804653,2
614272,1
699619,0
128361,2
617614,0
756863,2
550624,2
971913,0
597102,2
468901,1
512603,0
869,0
135515,0
471002,-1
76054,0
835455,0
593722,1
209903,0
311687,0
38624,1
140169,2
50739,1
134179,0
368885,0
955073,2
642519,0
849811,2
377434,-1
61946,0
128149,0
545779,2
145812,1
839220,0
23630,2
631635,0
659284,-1
636800,-1
246233,1
224961,2
227170,-1
24500,2
444613,1
173797,1
183700,1
305251,2
487336,0
521403,0
741971,1
171732,1
354162,2
572875,0
337961,0
39327,0
666488,0
686787,-1
248289,-1
644357,2
106812,0
492300,2
929522,1
827492,-1
92888,-1
748860,1
544547,1
970736,0
805808,0
320551,0
210944,0
109631,2
251292,0
170364,0
948426,0
780776,0
693604,1
799998,0
373943,-1
593149,1
264289,-1
479344,-1
820909,1
492817,0
831733,1
405413,2
685176,0
982870,0
92655,0
929710,2
365298,1
597644,0
908494,0
532450,1
431470,2
261786,0
126953,2
157454,2
911863,2
968491,1
341684,-1
868000,2
937870,2
196243,0
749947,1
10201,1
861465,0
418775,0
561942,0
61831,2
224428,2
470738,1
694377,0
557591,0
504856,1
988980,0
811937,2
78955,1
166783,1
2520,0
268418,0
911873,2
380946,0
841067,-1
760341,2
872864,-1
833511,0
795400,0
947288,1
97754,1
848402,0
77036,2
280663,0
654324,0
105628,1
227665,2
169839,0
334216,-1
502105,1
174279,2
193681,0
457324,-1
562231,-1
254480,0
432635,2
916814,0
217862,0
454694,1
512554,2
249736,-1
979904,-1
841942,2
141852,2
279014,0
511552,2
502057,2
822243,0
586976,2
870627,1
809260,0
258979,0
342572,1
833715,2
63205,0
327,1
286773,2
831328,1
265516,-1
988076,1
92963,0
813089,0
372840,2
460869,0
700900,2
54421,0
83811,1
932229,1
14731,0
416245,0
91717,1
37782,-1
168950,0
791767,2
612474,1
863569,1
833620,0
831050,0
327186,2
70954,2
744906,0
410805,1
321290,0
560166,0
199999,0
520958,0
486093,0
433768,0
170942,0
97769,2
574580,0
427983,0
536786,1
64572,-1
932658,1
875904,1
388184,0
448406,0
